Escola,Código INEP,Categoria Administrativa,Logradouro,Número,Bairro,CEP,Telefone,Latitude,Longitude
UNIDADE EDUCACIONAL NOSSA SENHORA DA ESPERANCA,35278750,Pública,SALVADOR,30 RUA,RUA,11347-725,(13) 35761080,-23.9799378,-46.4526209
GERALDA ERNESTINA DA SILVA CRECHE MUNICIPAL,35278774,Pública,OSWALDO TOSCHI VEREADOR,2975 AVENIDA,AVENIDA,11360-080,(13) 34630509,-23.9405093,-46.3927334
VOVO VITALINO SOARES CRECHE MUNICIPAL,35278798,Pública,JEQUIE,1840 RUA,RUA,11347-400,(13) 35760319,-23.9830369,-46.4588414
REGINA APARECIDA SILVA NASCIMENTO TIA CRECHE MUNICIPAL,35278816,Pública,RUA RIO CLARO,80 JARDIM IRMA DOLORES,DOLORES,11347-715,(13) 35760353,-23.98266387,-46.45246451
UNIDADE EDUCACIONAL MAURO APARECIDO DE GODOY,35278919,Pública,GRANDE ORIENTE DO BRASIL,3 PRACA,PRACA,11355-165,(13) 34622686,-23.9403713,-46.4050676
ALICERCE CENTRO EDUCACIONAL,35289848,Privada,ANITA COSTA DONA,88 RUA,RUA,11380-300,(13) 33268781,-23.9605858,-46.375594
OBJETIVO DO LITORAL CENTRO EDUCACIONAL UNIDADE VIII,35290452,Privada,WILSON PRESIDENTE,424 AVENIDA,AVENIDA,11320-000,(13) 35691919,-23.9698168,-46.3730621
BRINCANDO E APRENDENDO COLEGIO,35290497,Privada,FLORIVAL ALVES DA SILVA,500 RUA,RUA,11346-170,(13) 35761780,-23.9791,-46.49291
LUIZ JUNIOR COLEGIO,35297422,Privada,ANTONIO RISCALLE HUSNE,923 RUA,RUA,11347-020,(13) 35661347,-23.9793225,-46.4702712
PRIMO CHARLES COLEGIO,35297434,Privada,PEDRO II DOM,993 AVENIDA,AVENIDA,11350-100,(13) 34646937,-23.9430084,-46.4152864
CRECHE MUNICIPAL CANTINHO DO ZEZINHO II,35365579,Pública,SALGADO FILHO SENADOR,637 AVENIDA,AVENIDA,11360-200,(13) 34646120,-23.9461184,-46.3974448
EVOLUCOES COLEGIO,35366493,Privada,ESMERALDO SOARES TARQUINIO DE CAMPOS FILHO DOUTOR,765 AVENIDA,AVENIDA,11346-000,(13) 35662295,-23.9865239,-46.4817897
KAYK NASCIMENTO DA SILVA CRECHE MUNICIPAL COMUNITARIA,35369470,Pública,QUIRINO MARIO BIASOLI,98 RUA,RUA,11350-440,(13) 34630223,-23.9397533,-46.4184286
ANDREA NOBREGA INSTITUTO EDUCACIONAL,35369986,Privada,GOIAS,730 JARDIM IRMA DOLORES,DOLORES,11347-515,(13) 35661209,-23.9807736,-46.4547032
ARTES E MANHAS ESCOLA,35370174,Privada,JORGE SAO,238 RUA,RUA,11380-310,(13) 35615496,-23.9594536,-46.3739445
GRUPO DA PRECE CRECHE MUNICIPAL COMUNITARIA,35395341,Pública,TAMBAU,1534 VILA NOSSA SENHORA DE FATIMA,FATIMA,11355-030,(13) 34643679,-23.9418265,-46.4080503
CONSTRUINDO O FUTURO ESCOLA DE EDUCACAO INFANTIL,35395511,Privada,CAIAMORE,681 RUA,RUA,11335-010,(13) 34640522,-23.96552675,-46.4047465
CANTINHO DO CEU CRECHE MUNICIPAL,35402148,Pública,ATALIBA LEONEL,358 RUA,RUA,11370-450,(13) 30270430,-23.9524817,-46.3857584
ETEC DOUTORA RUTH CARDOSO,35405224,Pública,CORONEL LOPES,387 PRACA,PRACA,11310-020,(13) 34672955,-23.9650745,-46.3835486
RAIO DE SOL NUCLEO RECREATIVO INFANTIL,35420448,Privada,SIMAO JAHJAH,890 RUA,RUA,11346-200,(13) 35661797,-23.98881313,-46.48269387
ANDREA NOBREGA INSTITUTO EDUCACIONAL,35429181,Privada,RUA GOIAS,SAMARITA,,11345-000,(13) 35663716,                              ,                              
LOBATO COLEGIO,35430365,Privada,PERSIO DE QUEIROS FILHO,614 AVENIDA,AVENIDA,11370-300,(13) 34692843,-23.9579502,-46.3877068
CARA PINTADA CENTRO DE RECREACAO INFANTIL,35434024,Privada,DUARTE DA COSTA DOM,858 RUA,RUA,11360-280,(13) 34646203,-23.94941,-46.39795
CRUZ AZUL DE SAO PAULO COLEGIO,35440826,Privada,RUI BARBOSA,238 PRACA,PRACA,11360-040,(13) 34655520,-23.9548238,-46.399564
ALEGRIA DE VIVER ESCOLA,35442069,Privada,SIRIA,255 RUA,RUA,11330-140,(13) 34668498,-23.96994,-46.39659
UNICO COLEGIO,35446786,Privada,FRANCISCO DIAS JORGE,745 RUA,RUA,11350-270,(13) 34638942,-23.9413592,-46.4115221
MUNDO VERDE COLEGIO,35452270,Privada,ANTONIO EMMERICH,1373 VILA CASCATINHA,CASCATINHA,11370-900,(13) 33711808,-23.9597154,-46.3730844
PENITENCIARIA DOUTOR GERALDO DE ANDRADE VIEIRA I,35454138,Pública,PADRE MANOEL DA NOBREGA KM 66,SN KM 66,66,11348-910,(13) 34061310,-23.961559,-46.4703781
NAYLA AMOR A VIDA CRECHE COMUNITARIA,35461271,Privada,DILSON MARONE,25 RUA,RUA,11350-570,(13) 11350570,-23.9415033,-46.4191731
TURMINHA DA DISNEY ESCOLA DE EDUCACAO INFANTIL,35463383,Privada,EMILIO JUSTO DEPUTADO,202 RUA,RUA,11349-030,(13) 34060833,                              ,                              
CENTRO EDUCACIONAL SENINHA,35468666,Privada,CINCO,350 RUA,RUA,11347-460,(13) 997917481,-23.98038531,-46.46006974
UNIDADE EDUCACIONAL MARIA ELIZABETH RAMOS DA SILVA,35469701,Pública,UM,135 RUA,RUA,11345-010,(13) 35760359,-23.9880561,-46.4687696
JOSEFA MARIA DE SOUZA CRECHE MUNICIPAL,35478337,Pública,QUARENTA E CINCO,710 PRACA,PRACA,11349-210,(13) 35640264,-23.9518979,-46.4533393
EVOLUCOES UNIDADE II COLEGIO,35482080,Privada,ESMERALDO SOARES TARQUINIO DE CAMPOS FILHO DOUTOR,1074 AVENIDA,AVENIDA,11346-000,(13) 35666167,-23.9885984,-46.479938
ALDEIA DE PARANAPUA,35495670,Pública,PRAIA DE PARANAPUA,SN AVENIDA,AVENIDA,11325-010,,                              ,                              
NUCLEO DE RECREACAO INFANTIL NOVO PLANETA DA CRIANCA DE SAO VICENTE,35496728,Privada,JOAO ARMENIO CAICHJIAN,68 RUA,RUA,11340-390,(13) 34671993,-23.96045,-46.40365
ESCOLA PARTICULAR VILMA VILA NOVA,35496736,Privada,CEARA,111 RUA,RUA,11345-045,(13) 996453664,-23.9907029,-46.4747913
PRIVILEGIO COLEGIO,35498865,Privada,QUINTINO BOCAIUVA,675 E 685,685,11320-010,(13) 34669130,-23.9677002,-46.3733756
PEQUENO APRENDIZ CRECHE ESCOLA,35499948,Privada,TENENTE JOSE DOS SANTOS,269 JARDIM RIO BRANCO,BRANCO,11347-100,(13) 35661738,-23.9766089,-46.4807817
VIDEIRA COLEGIO,35513647,Privada,ALAGOAS,120 RUA,RUA,11347-190,(13) 35760800,-23.9844647,-46.4666953
CENTRO ATEND SOCIO-EDUC ADOLESCENTE DE SAO VICENTE-UIP,35559519,Pública,RODOVIA PADRE MANOEL DA NOBREGA,SAMARITA,,11346-300,(13) 34064603,                              ,                              
CENTRO ATEND SOCIOEDUC ADOLESCENTE DE SAO VICENTE CI,35559520,Pública,MANOEL DA NOBREGA,SN RODOVIA,RODOVIA,11346-300,(13) 33253828,-23.9615142,-46.473623
JOSE CAMPELO VOVO CRECHE MUNICIPAL,35560856,Pública,GILBERTO ESTEVES MARTINS,320 JARDIM RIO BRANCO,BRANCO,11347-200,(13) 34060691,-23.9770725,-46.4760525
ARTES E MANHAS UNID II ESCOLA EDUC INFANTIL ENS FUNDAMENTAL,35560960,Privada,FRANCISCO XAVIER DOS PASSOS,425 RUA,RUA,11380-040,(13) 33299782,-23.9555679,-46.3720716
LAR DA CRIANCA FELIZ CRECHE MUNICIPAL,35561034,Pública,LOVELY PLAUCHUT PROFESSOR,787 RUA,RUA,11335-300,(13) 34649299,-23.9670579,-46.4112822
SENAT SERVICO NACIONAL DE APRENDIZAGEM DO TRANSPORTE,35565885,Privada,PC ADALBERTO PANZAN,151 ESPLANADA DOS BARREIROS,BARREIROS,11340-265,(13) 34651300,                              ,                              
CENTRO RECREATIVO INFANTIL JARDIM OLIVEIRA,35578873,Privada,JEQUIE,1888 RUA,RUA,11347-400,(13) 35668057,                              ,                              
CRECHE ESCOLA DE EDUCACAO INFANTIL PALAVRA CANTADA,35579063,Privada,DO PARQUE,487 TRAVESSA,TRAVESSA,11365-330,(13) 34680752,-23.96094489,-46.38990177
PENITENCIARIA II DE SAO VICENTE,35581689,Pública,PADRE MANOEL DA NOBREGA,SN KM 282,282,11348-910,(13) 34061221,                              ,                              
ESCOLA FORTEC,35583716,Privada,BENEDITO CALIXTO,160 170,170,11320-070,(13) 35692525,-23.9676152,-46.3759908
BERCARIO E EDUCACAO INFANTIL ROSA DE SAROM,35586249,Privada,SANTA CRUZ,78 RUA,RUA,11310-290,(13) 34667838,-23.96799261,-46.39032997
CAMINHO DO SABER,35587928,Privada,ALAMEDA DOIS,817 PARQUE CONTINENTAL,CONTINENTAL,11348-300,(13) 35642136,-23.95435693,-46.46098349
COLEGIO GENESIS SAO VICENTE,35587953,Privada,JULIA DE ALMEIDA PIRES PROFESSORA,530 RUA,RUA,11347-090,(13) 33666688,-23.97897339,-46.47873247
CAMBARA ESCOLA,35805312,Privada,RUA DO COLEGIO,161 CENTRO,CENTRO,11310-210,(13) 34669376,-23.9641083,-46.3791773
ALBINO LUIZ CALDAS PROFESSOR,35901404,Pública,IRMA MARIA RITA DE SOUZA BRITO LOPES IRMA DULCE,SN RUA,RUA,11349-330,(13) 34061163,-23.9604032,-46.4699338
ERCILIA NOGUEIRA COBRA,35901428,Pública,VALE DO PO,400 VL MARGARIDA,MARGARIDA,11330-670,(13) 34649952,                              ,                              
PAULO DE ARRUDA PENTEADO PROFESSOR,35905012,Pública,JOSE SINGER DOUTOR,SN AVENIDA,AVENIDA,11349-000,(13) 34062214,-23.9497284,-46.460612
JOSE DE ALMEIDA PINHEIRO JUNIOR PROFESSOR,35909865,Pública,DOUTOR JOSE BENEDITO ALMEIDA RIBEIRO,SN RUA,RUA,11346-030,(13) 35662718,-23.9847933,-46.4901917
JOAQUIM LOPES LEAO PASTOR,35909877,Pública,ALEXANDRE SENDIM,150 RUA,RUA,11330-420,(13) 34697675,-23.9743525,-46.3986125
OSWALDO DOS SANTOS SOARES PROFESSOR DOUTOR,35909889,Pública,NOVE DE JULHO,465 AVENIDA,AVENIDA,11370-020,(13) 35612151,-23.9568712,-46.3803114
ALBERTO AUGUSTO PASTOR,35909907,Pública,DEZESSETE,SN RUA,RUA,11350-540,(13) 34643337,-23.940446,-46.4177519
MARIO COVAS JUNIOR GOVERNADOR,35923485,Pública,DOUTOR ARCHIMEDES BAVA,SN RUA,RUA,11346-190,(13) 35768089,-23.9820495,-46.4947367
CEL JTO A EE MARTIM AFONSO,35985247,Pública,JOSE BONIFACIO,102 RUA,RUA,11310-080,(13) 34681625,-23.969276,-46.38343
