Escola,Código INEP,Categoria Administrativa,Logradouro,Número,Bairro,CEP,Telefone,Latitude,Longitude
UNIDADE EDUCACIONAL RAQUEL DE CASTRO FERREIRA,35056534,Pública,NEWTON PRADO,503 AVENIDA,AVENIDA,11310-160,(13) 34676021,-23.9716408,-46.3913308
UNIDADE EDUCACIONAL PROFESSOR EDMUNDO CAPELLARI,35056546,Pública,VITORIA,SN PRACA,PRACA,11380-640,(13) 35613794,-23.961576,-46.3697866
UNIDADE EDUCACIONAL PROFESSOR CLEMENTE FERREIRA,35056558,Pública,LARGO PROFESSOR CLEMENTE FERREIRA,SN LARGO,LARGO,11370-050,(13) 35616168,-23.9589704,-46.3788343
UNIDADE EDUCACIONAL DOM PEDRO I,35070415,Pública,DOM PEDRO I,SN PRACA,PRACA,11360-240,(13) 34624613,-23.9521141,-46.398293
UNIDADE EDUCACIONAL MARIO COVAS JUNIOR,35070920,Pública,NILO DE SOUZA COELHO SENADOR,SN RUA,RUA,11346-040,(13) 35662499,-23.9899428,-46.4819632
AMEI PARQUE SAO VICENTE MARIA DE LOURDES BATISTA,35070932,Pública,RUBENS FERREIRA MARTINS,SN PARQUE SAO VICENTE,VICENTE,11360-230,(13) 34646146,-23.9521516,-46.4001783
UNIDADE EDUCACIONAL CIDADE DE NAHA,35080779,Pública,GENERAL EITCHEGOYEN,25 RUA,RUA,11370-210,,-23.9580943,-46.3830812
UNIDADE EDUCACIONAL ALBERTO SANTOS DUMONT,35080792,Pública,EDUARDO CACAO,SN RUA,RUA,11347-150,(13) 35661498,-23.9775809,-46.4777482
UNIDADE EDUCACIONAL CARLOS CALDEIRA,35080809,Pública,ARMINDO RAMOS,SN PRACA,PRACA,11345-005,(13) 35662522,-23.9897581,-46.4755734
UNIDADE EDUCACIONAL PROFESSORA ADILZA DE OLIVEIRA ROSA SOBRAL,35082247,Pública,31 DE MARCO,SN PRACA,PRACA,11335-355,(13) 34613375,-23.9412806,-46.4062333
UNIDADE EDUCACIONAL PADRE JOSE DE ANCHIETA,35083793,Pública,BRASILIA,SN PRACA,PRACA,11346-005,(13) 35662517,-23.9849958,-46.4849419
UNIDADE EDUCACIONAL PROFESSOR JOSE BORGES FERNANDES,35084633,Pública,SENADOR SALGADO FILHO,SN AVENIDA,AVENIDA,11360-200,(13) 34625330,-23.9426134,-46.3965132
JULIA MARIA DE JESUS CRECHE MUNICIPAL,35085108,Pública,HATCHIK ARMENIO CATCHJAN,210 AVENIDA,AVENIDA,11349-100,(13) 35640245,-23.9491447,-46.4591377
UNIDADE EDUCACIONAL CAIC AYRTON SENNA DA SILVA,35085911,Pública,IRMA MARIA RITA DE SOUZA BRITO LOPES IRMA DULCE,SN RUA,RUA,11349-330,(13) 34061399,-23.9502191,-46.4579291
UNIDADE EDUCACIONAL PROFESSORA EULINA TRINDADE,35085923,Pública,JURACY CAMARGO,SN PRACA,PRACA,11335-355,(13) 34643937,-23.961521,-46.4063103
UNIDADE EDUCACIONAL REPUBLICA DE PORTUGAL,35089461,Pública,VINTE E TRES DE MAIO,265 PRACA,PRACA,11310-170,(13) 34673496,-23.9718088,-46.3930304
UNIDADE EDUCACIONAL PROFESSOR ANUAR FRAYHA,35099089,Pública,JOSE ADRIANO MARREY JUNIOR,SN RUA,RUA,11340-310,(13) 34643482,-23.9559209,-46.4134028
UNIDADE EDUCACIONAL PROFESSORA KELMA MARIA TOFFETI GONCALVES,35099090,Pública,IRMA DULCE,SN AVENIDA,AVENIDA,11349-000,(13) 35643477,-23.9507765,-46.4555927
UNIDADE EDUCACIONAL PROFESSORA MARIA GUILHERMINA MARTINS MACHADO,35099107,Pública,AMERICO MARTINS DOS SANTOS,SN RUA,RUA,11370-550,(13) 35616425,-23.9522668,-46.3815632
UNIDADE EDUCACIONAL MONTEIRO LOBATO,35099120,Pública,RIO LARGO,SN RUA,RUA,11370-650,(13) 34681572,-23.951815,-46.3876286
UNIDADE EDUCACIONAL PROVINCIA DE OKINAWA,35099132,Pública,CIDADE DE CUBATAO,SN RUA,RUA,11330-680,,-23.967685,-46.4089001
UNIDADE EDUCACIONAL VILA EMA,35099144,Pública,DOUTOR MARCELO RIBEIRO NOGUEIRA,SN RUA,RUA,11345-300,(13) 35661864,-23.9927393,-46.4907148
TANCREDO NEVES CRECHE MUNICIPAL,35099156,Pública,NOSSA SENHORA APARECIDA,551 PRACA,PRACA,11355-340,(13) 34630303,-23.94833271,-46.40414734
SAO VICENTE ATENEU,35110383,Privada,AMADOR BUENO DA RIBEIRA,252 212,212,11320-060,(13) 34686895,-23.9667024,-46.3768826
NOTRE DAME ESCOLA UNIDADE I,35110450,Privada,PRESIDENTE WILSON,278 AVENIDA,AVENIDA,11320-000,(13) 35791212,-23.9703236,-46.3718591
HENRIQUE OSWALD ESCOLA,35110474,Privada,AGUIAR CAPITAOMOR,223 AVENIDA,AVENIDA,11310-201,(13) 34683507,-23.9694975,-46.3919989
COLEGIO CULTURA,35110504,Privada,STELIO MACHADO LOUREIRO,312 VILA NOSSA SENHORA DE FATIMA,FATIMA,11355-240,(13) 34639990,-23.9535871,-46.4049046
ITA COLEGIO,35110516,Privada,DJALMA DUTRA,07 RUA,RUA,11310-260,(13) 976006847,-23.9682847,-46.388389
