nome-fantasia,esfera-administrativa,cep,logradouro,numero,bairro,telefone,latitude,longitude,turno-atendimento,centro-cirurgico,centro-obstetrico,centro-neonatal,atendimento-hospitalar,servico-apoio,atendimento-ambulatorial,ambulatorial-sus
CLINICA FRAYHA PEDIATRIA ALERGIA IMUNOLOGIA E VACINAS SV,MUNICIPAL,11310400,QUINZE DE NOVEMBRO,576,CENTRO,13 34682928,-239.662.733,-463.866.614,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
ESPACO ALARAFRA SAO VICENTE,MUNICIPAL,11310400,RUA QUINZE DE NOVEMBRO,576,CENTRO,13988803800,-239.637.837.087,-46.385.436.058,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
NEURO INFANCIA SAO VICENTE,MUNICIPAL,11310420,IPIRANGA,266,CENTRO,13 88223232,-239.652.449.296,-4.638.741.053,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
LABI EXAMES UNIDADE SAO VICENTE,MUNICIPAL,11310050,JOAO RAMALHO,570,CENTRO,11 38534009,-239.660.484.211,-463.829.684.258,MANHA-TARDE,,,,,0.0,0.0,NAO
NF ODONTOLOGIA A ARTE DE SORRIR SAO VICENTE,MUNICIPAL,11310061,FREI GASPAR,910,CENTRO,13 34688000,-239.641.437.212,-463.877.517.847,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
POSTO DE VACINACAO BRISAMAR SV,MUNICIPAL,11310060,RUA FREI GASPAR,365,CENTRO,,-2.396.800.375,-463.839.243.549,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
HOME SAUDE VIDA SAO VICENTE,MUNICIPAL,11310060,FREI GASPAR,739,CENTRO,13 89346184,-239.654.969.526,-463.867.342.472,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
MYLENA VIEIRA ODONTOLOGIA SAO VICENTE,MUNICIPAL,11310400,QUINZE DE NOVEMBRO,576,CENTRO,13 74204927,-239.637.853,-463.853.854,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ZAQUENIRA BATISTA BELCHIOR DE OLIVEIRA SAO VICENTE,MUNICIPAL,11310180,RUA MARQUES DE SAO VICENTE,166,CENTRO,13997410383,-239.688.719.029,-463.906.931.877,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ODONTO MATER SAO VICENTE,MUNICIPAL,11320020,TIBIRICA,373,CENTRO,13 91528914,-239.660.190.095,-463.823.676.109,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
LUCIANE VERGINIA SANTOS DA SILVA MENDIETA SV,MUNICIPAL,11310071,JACOB EMERICK,365,CENTRO,,-239.678.033.007,-463.850.390.911,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
DROGARIAS NISSEI SAO VICENTE,MUNICIPAL,11320000,AV PRESIDENTE WILSON,218,CENTRO,4132138364,-239.710.309,-463.709.772,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ENDOSONI SAO VICENTE,MUNICIPAL,11310400,RUA XV DE NOVEMBRO,576,CENTRO,1382178239,-239.637.853,-463.853.854,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
INSTITUTO PAZ PSICOLOGIA DE A A Z LTDA SAO VICENTE,MUNICIPAL,11320915,PRESIDENTE WILSON,1473,CENTRO,13 981409355,-239.653.596.978,-463.820.403.814,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ESTIMULO NEURO SAO VICENTE,MUNICIPAL,11310060,FREI GASPAR,931,CENTRO,13 97332663,-239.647.837.165,-463.884.401.321,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
MAXI EXAMES SAO VICENTE,MUNICIPAL,11310070,RUA JACOB EMERICK,365,CENTRO,1334679303,-239.682.741.161,-463.836.992.187,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
CLINICA MULTIDICIPLINAR SERSINAPSI SAO VICENTE,MUNICIPAL,11310050,R JOAO RAMALHO,825,CENTRO,1313997768353,-239.660.831.708,-463.830.925.047,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
