nome-fantasia,esfera-administrativa,cep,logradouro,numero,bairro,telefone,latitude,longitude,turno-atendimento,centro-cirurgico,centro-obstetrico,centro-neonatal,atendimento-hospitalar,servico-apoio,atendimento-ambulatorial,ambulatorial-sus
CONSULTORIO ODONTOLOGICO DRA VIRGINIA AZEVEDO SAO VICENTE,MUNICIPAL,11310061,RUA FREI GASPAR,739,CENTRO,(13) 34685554,-239.656.072.465,-463.865.464.926,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
DAY CENTER CIRURGIAS SAO VICENTE,MUNICIPAL,11320000,AV PRESIDENTE WILSON,1136,CENTRO,(13) 34687777,,,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
NASO NUCLEO DE ASSISTENCIA A SAUDE ODONTOLOGICA SV,MUNICIPAL,11380080,PRACA BARAO DO RIO BRANCO,187,CENTRO,(13) 35688888,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CAIXA DE SAUDE E PECULIO DOS SERVIDORES MUN DE SAO VICENTE,MUNICIPAL,11310060,R FREI GASPAR,157,CENTRO,(13)35695357,-23.968.154,-46.381.716,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
FISIOTERAPIA INTEGRADA SAO VICENTE,MUNICIPAL,11310061,RUA FREI GASPAR,739,CENTRO,(13) 81124232,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CONSULTORIO DE PSICOLOGIA DRA EMANOELE ALMEIDA MOURA,MUNICIPAL,11310040,RUA PADRE ANCHIETA,331,CENTRO,(13)30224216,,,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
AMBULATORIO ANA COSTA DE SAO VICENTE,MUNICIPAL,11320000,AV PRESIDENTE WILSON,772,CENTRO,(13) 32029298,-239.686.624,-46.375.718,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CEO III INSULAR SAO VICENTE,MUNICIPAL,11320010,AV QUINTINO BOCAIUVA,1261,CENTRO,1335693513,-23.963.555,-46.381.297,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
EDUARDO CONDE DA SILVA SAO VICENTE,MUNICIPAL,11310061,RUA FREI GASPAR,739,CENTRO,(13) 34677640,-23.965.571,-46.386.685,TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
INST DE OFTALMOLOGIA DA B SANTISTA IOBS S VICENTE,MUNICIPAL,11310050,RUA JOAO RAMALHO,825,CENTRO,,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CATH CENTRO DE ATEND A TUBERCULOSE E HANSENIASE SV,MUNICIPAL,11320070,RUA BENEDITO CALIXTO,275,CENTRO,(13) 34682870,-23.966.759.175,-463.759.659.601,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
SUCEN SERVICO REGIONAL 02 SAO VICENTE,ESTADUAL,11310050,RUA JOAO RAMALHO,587,CENTRO,(13) 3468-8894,-23.963,-46.392,MANHA-TARDE,,,,,0.0,0.0,NAO
OSWALDO GUAPO SAO VICENTE,MUNICIPAL,11310400,RUA QUINZE DE NOVEMBRO,260,CENTRO,(13) 34681770,-23.966.443,-46.386.535,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
HOSPITAL E MATERNIDADE MUNICIPAL DE SAO VICENTE,MUNICIPAL,11310420,RUA IPIRANGA,370,CENTRO,34692166,-23.964.159,-46.387.139,24H,1.0,1.0,1.0,1.0,1.0,1.0,SIM
CLINICA TOTAL SAUDE SAO VICENTE,MUNICIPAL,11310440,RUA VISCONDE TAMANDARE,481,CENTRO,(13) 34679862,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
VISION CID LASER CLINICA DE OLHOS SAO VICENTE,MUNICIPAL,11310071,RUA JACOB EMERICK,379,CENTRO,34667791,-239.677.248.709,-463.850.712.776,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
CLINICA LAGON SAO VICENTE,MUNICIPAL,11340040,RUA PADRE ANCHIETA,331,CENTRO,(13) 33268275,,,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
CLINICA BRASIMED SAO VICENTE,MUNICIPAL,11310000,PRACA BARAO DO RIO BRANCO,54,CENTRO,13 33847740,,,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
BRENO NAPPI VENTURA SAO VICENTE,MUNICIPAL,11310050,RUA JOAO RAMALHO,839,CENTRO,13 34688007,-239.648.621.481,-463.855.057.955,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ANGIOCORPORE SAO VICENTE,MUNICIPAL,11310935,FREI GASPAR,365,CENTRO,13 32282700,-23.967.127,-46.383.625,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
LABORATORIO ESPECIALIZADO DE DSTHIV SAO VICENTE,MUNICIPAL,11310421,RUA IPIRANGA,353,CENTRO,13 35695930,-23.964.216,-46.387.245,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
RITA DE CASSIA DE SOUZA SA SAO VICENTE,MUNICIPAL,11320010,AVENIDA PRESIDENTE WILSON,1473,CENTRO,13 30138187,-23.965.328,-46.382.261,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CLINICA RADIOLOGICA DO GUARUJA SAO VICENTE,MUNICIPAL,11310420,RUA IPIRANGA,345,CENTRO,13 34692119,-239.645.291.547,-463.873.646.459,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
UP CENTRO AUDITIVO SAO VICENTE,MUNICIPAL,11310050,RUA JOAO RAMALHO,803,CENTRO,34666404,-239.651.807.763,-463.853.555.918,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ANA MARIA ALVES RIBEIRO,MUNICIPAL,11310040,RUA PADRE ANCHIETA,331,CENTRO,13 30143176,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
TRASMONTANO SAO VICENTE,MUNICIPAL,11310071,RUA JACOB EMMERICH,921,CENTRO,,-23.966,-46.386,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CLINICA DE ESTETICA BOA FORMA,MUNICIPAL,11310050,RUA JOAO RAMALHO,803,CENTRO,33297545,-239.650.092.074,-463.853.234.053,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CLINICA TOTAL SAUDE SAO VICENTE,MUNICIPAL,11310440,RUA VISCONDE DE TAMANDARE,481,CENTRO,3278-5908,-239.665.203,-463.900.932,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
RENASCER SERVICOS MEDICOS LTDA SAO VICENTE,MUNICIPAL,11310290,R SANTA CRUZ,134,CENTRO,34662175,-23.965.664,-46.376.794,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
SORRIDENTS CLINICAS ODONTOLOGICAS SAO VICENTE,MUNICIPAL,11310400,RUA XV DE NOVEMBRO,81,CENTRO,34663058,-23.967.884,-46.387.433,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ODONTOCOMPANY SAO VICENTE,MUNICIPAL,11310050,RUA JOAO RAMALHO,560,CENTRO,,-2.396.593,-46.383.041,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
DENTISTE ODONTOLOGIA SAO VICENTE,MUNICIPAL,11320060,AMADOR BUENO DA RIBEIRA,64,CENTRO,13 33953521,-23.968.181,-46.377.871,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
FARMA CONDE FILIAL 462 SV,MUNICIPAL,11310040,PADRE ANCHIETA,454,CENTRO,12 39324721,-239.663.474.386,-463.837.972.283,MANHA-TARDE-NOITE,,,,,1.0,0.0,NAO
CLINICA DE OLHOS EDUARDO PAULINO SAO VICENTE,MUNICIPAL,11310061,FREI GASPAR,790,CENTRO,13 32217260,-239.652.248.939,-463.869.863.749,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
DROGASIL DS0775 SV,MUNICIPAL,11320000,PRESIDENTE WILSON,962,CENTRO,11 37695731,-239.673.180.152,-463.775.986.433,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
DROGARAIA LJ0163 SV,MUNICIPAL,11310913,PRESIDENTE WILSON,256,CENTRO,11 37695731,-239.702.027.574,-463.715.995.188,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
DALSON NERY CAIVANO SAO VICENTE,MUNICIPAL,11310061,RUA FREI GASPAR,637,CENTRO,34684519,-23.966.127,-4.638.568,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CLINICA MEDICA IPIRANGA SAO VICENTE,MUNICIPAL,11320120,RANGEL PESTANA,209,CENTRO,13 34664255,-239.711.092,-463.734.039,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
PRO SAUDE VACINAS E APLICACOES,MUNICIPAL,11320001,AVENIDA PRESIDENTE WILSON,1473,CENTRO,1334661378,-239.655.778.348,-463.821.154.833,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
JOAO FERNANDO CESAR GONCALVES DO NASCIMENTO SAO VICENTE,MUNICIPAL,11310040,RUA PADRE ANCHIETA,64,CENTRO,34742109,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
BIO LABORATORIO DE ANALISES CLINICAS DE SANTOS SAO VICENTE,MUNICIPAL,11320001,AV PRESIDENTE WILSON,1473,CENTRO,32518080,-239.652.649.409,-4.638.214.155,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
R R M PSICOLOGIA LTDA ME SAO VICENTE,MUNICIPAL,11310050,JOAO RAMALHO,803,CENTRO,13 34663823,-2.396.503,-46.385.326,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CLINICA DE IMAGEM SAO VICENTE SAO VICENTE,MUNICIPAL,11310421,IPIRANGA,339,CENTRO,13 34692226,-239.651.806,-463.874.348,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
CLINICA CDAD JCC,MUNICIPAL,11310902,FREI GASPAR,790,CENTRO,13 32192524,-239.653.523.449,-463.863.533.735,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
INSTITUTO INCLUSAO BRASIL SAO VICENTE,MUNICIPAL,11310070,RUA JACOB EMERICK,365,CENTRO,1334663504,-2.396.776,-46.385.015,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
INSTITUTO DE LASERTERAPIA MED LASER LTDA SAO VICENTE,MUNICIPAL,11310060,RUA FREI GASPAR,147,CENTRO,1335694242,-2.396.822,-46.381.569,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
MARJORY ALFARO NASCIMENTO SAO VICENTE,MUNICIPAL,11310200,AV CAPITAO MOR AGUIAR,210,CENTRO,1330347605,-239.690.724,-463.917.071,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
LA LUMIERE PSICOLOGIA SAO VICENTE,MUNICIPAL,11310071,RUA JACOB EMERICK,365,CENTRO,13 997161690,-239.650.115,-463.915.472,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
PSICOLORINDO CLINICA DE PSICOLOGIA SAO VICENTE,MUNICIPAL,11310400,RUA QUINZE DE NOVEMBRO,576,CENTRO,1330130049,-23.963.704,-46.385.425,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
DR EXAMINA SAO VICENTE,MUNICIPAL,11320020,RUA TIBIRICA,160,CENTRO,13 33047976,-239.673.762,-463.830.968,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
LABORATORIO DR LEAO DE MOURA SAO VICENTE,MUNICIPAL,11310421,IPIRANGA,321,CENTRO,13 32221768,-23.964.812,-46.387.413,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
LABORATORIO SANTA CLARA SAO VICENTE,MUNICIPAL,11310040,PADRE ANCHIETA,224,CENTRO,13 32785908,-23.968.164,-46.384.882,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
MEDSEG SAO VICENTE,MUNICIPAL,11310070,RUA JACOB EMERICK,1074,CENTRO,1330431041,-23.964.798,-46.390.923,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
JULIANA CRUZ FERNANDES SAO VICENTE,MUNICIPAL,11310061,RUA FREI GASPAR,637,CENTRO,13996188414,-23.966.058,-4.638.569,TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
MARIA LUISA SAMPERE SERNA CRUZ SAO VICENTE,MUNICIPAL,11320915,AV PRESIDENTE WILSON,1473,CENTRO,(13)34691989,-23.965.412,-4.638.224,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
I T CAVALCANTE CLINICA SAO VICENTE,MUNICIPAL,11310421,RUA IPIRANGA,345,CENTRO,1340421570,-239.645.974.411,-463.874.745.369,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CLINICA FARES SAO VICENTE,MUNICIPAL,11310040,R QUINZE DE NOVEMBRO,176,CENTRO,1139863503,-239.631.703,-463.852.566,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CONSULTORIO DE PSICOLOGIA VITALITE SAUDE SAO VICENTE,MUNICIPAL,11310060,RUA FREI GASPAR,637,CENTRO,13991056373,-239.497.554,-464.118.183,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
CLINICA IPIRANGA LTDA SAO VICENTE,MUNICIPAL,11320110,RUA GONCALO MONTEIRO,154,CENTRO,1334689912,-239.687,-463.730.926,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
MARIA BEATRIZ ESTOGIO SILVA SAO VICENTE,MUNICIPAL,11310071,RUA JACOB EMERICK,365,CENTRO,13996256002,-239.650.115,-463.915.472,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
E T S FISIOTERAPIA SAO VICENTE,MUNICIPAL,11310061,RUA FREI GASPAR,739,CENTRO,1334612270,-23.965.628,-46.386.671,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
DOMINIO IMAGEM SAO VICENTE,MUNICIPAL,11310040,RUA PADRE ANCHIETA,224,CENTRO,1334714143,-23.968.142,-46.384.879,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CSS EXAMES PSICOTECNICOS SAO VICENTE,MUNICIPAL,11310400,RUA QUINZE DE NOVEMBRO,576,CENTRO,13988100626,-23.963.728,-46.385.414,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
DANIELA MARIA BUENO DE VARGAS SAO VICENTE,MUNICIPAL,11310400,RUA QUINZE DE NOVEMBRO,576,CENTRO,1334665401,-23.963.706,-46.385.435,TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
SAMU 192 SAO VICENTE 8,MUNICIPAL,11355230,PRACA IMIGRACAO JAPONESA,S/N,CIDADE NAUTICA,1334637876,-23.950.627,-46.406.641,24H,,,,,0.0,0.0,NAO
UNIDADE BASICA DE SAUDE TANCREDO NEVES SAO VICENTE,MUNICIPAL,11350560,RUA LUIZ MEIRELES DE ARAUJO,160,CIDADE NAUTICA,(13)34641262,-239.416.158.403,-464.190.812.685,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
PRONTO ATENDIMENTO CIDADE NAUTICA SAO VICENTE,MUNICIPAL,11310000,PRACA IMIGRACAO JAPONESA,S/N,CIDADE NAUTICA,(13)34642700,,,24H,0.0,0.0,0.0,0.0,1.0,0.0,NAO
UNIDADE BASICA DE SAUDE NAUTICA III SAO VICENTE,MUNICIPAL,11340380,RUA NICOLAU PATRICIO MOREIRA,225,CIDADE NAUTICA,1334638266,-239.543.155,-464.158.961,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
SAMU 192 SAO VICENTE 1,MUNICIPAL,11355230,PRACA IMIGRACAO JAPONESA,S/N,CIDADE NAUTICA,1334637876,-23.950.617,-46.406.652,24H,,,,,0.0,0.0,NAO
SAMU 192 SAO VICENTE 3,MUNICIPAL,11355230,PRACA IMIGRACAO JAPONESA,S/N,CIDADE NAUTICA,1334637876,-23.950.607,-46.406.641,24H,,,,,0.0,0.0,NAO
SAMU 192 SAO VICENTE 4,MUNICIPAL,11355230,PRACA IMIGRACAO JAPONESA,S/N,CIDADE NAUTICA,1334637876,,,24H,,,,,0.0,0.0,NAO
SAMU 192 SAO VICENTE 6,MUNICIPAL,11355230,PRACA IMIGRACAO JAPONESA,S/N,CIDADE NAUTICA,,-23.951.077,-464.063.359,24H,,,,,0.0,0.0,NAO
SEST SENAT UNIDADE B N51 SV,MUNICIPAL,11340265,ADALBERTO PANZAN,151,CIDADE NAUTICA III,61 33157000,-239.519.031.209,-464.163.431.525,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
HOSPITAL DR OLAVO HORNEAUX DE MOURA SAO VICENTE,MUNICIPAL,11349000,RUA ALFREDO SCHAMMAS,S/N,CJTO HUMAITA,1334061822,-23.949.914,-4.645.965,24H,0.0,0.0,0.0,0.0,1.0,1.0,SIM
DROGAFARMA HUMAITA SV,MUNICIPAL,11349390,HATCHIC ARMENIO CAICHJIAN,232,CONJUNTO RESIDENCIAL,13 30224716,-239.495.106.936,-464.594.623.446,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
SORRIDENTS CLINICAS ODONTOLOGICAS SV,MUNICIPAL,11340100,SENADOR CESARIO BASTOS,225,ESPLANADA DOS BARREI,18 98266150,-239.577.712.435,-464.019.584.656,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
ESF ESPLANADA DOS BARREIROS SAO VICENTE,MUNICIPAL,11330750,AV BRASIL,S/N,ESPLANADA DOS BARREI,1334641257,-239.653.309,-464.134.111,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
POSTO DE ENFERMAGEM DO GONZAGUINHA SAO VICENTE,MUNICIPAL,11320440,AV EMBAIXADOR PEDRO DE TOLEDO,S/N,GONZAGUINHA,1334663605,-23.970.567,-46.383.927,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ORLANDO FERREIRA DA COSTA SAO VICENTE,MUNICIPAL,11320060,AMADOR BUENO DA RIBEIRA,64,GONZAGUINHA,(13)34681270,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
BEAUTY GRAF CENTER SAO VICENTE,MUNICIPAL,11320110,GONCALO MONTEIRO,189,GONZAGUINHA,(13)34697846,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
BIOMEGA MEDICINA DIAGNOSTICA SAO VICENTE,MUNICIPAL,11310060,FREI GASPAR,147,GONZAGUINHA,11 41345544,-239.682.493.697,-463.809.889.555,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
IMUVI INSTITUTO DE MEDICINA HUMANAE VITAE SV,MUNICIPAL,11320040,DOUTOR AMERICO BRASILIENSE,307,GONZAGUINHA,11 35316666,-239.655.729.328,-463.793.367.147,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ESF HUMAITA SAO VICENTE,MUNICIPAL,11349370,RUA ALFREDO NEVES,319,HUMAITA,1334062870,-239.502.162.049,-464.600.137.152,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
CAD CENTRO APOIO E DIAGNOSTICO SAO VICENTE,MUNICIPAL,11349000,RUA JOSE SINGER,S/N,HUMAITA,(13)34061142,-23.948.823,-46.461.355,MANHA-TARDE,,,,,0.0,0.0,SIM
PRONTO ATENDIMENTO HUMAITA SAO VICENTE,MUNICIPAL,11349000,RUA JOSE SINGER,S/N,HUMAITA,(13)35658700,-23.949.644,-46.459.475,24H,0.0,0.0,0.0,0.0,1.0,0.0,SIM
GLAUCIRA PECE VENTURA SAO VICENTE,MUNICIPAL,11349000,DR JOSE SINGER,387,HUMAITA,(13)35642269,,,TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ACADEMIA DA SAUDE HUMAITA,MUNICIPAL,11349190,PRACA SEBASTIAO AUGUSTO DA SILVA,S/N,HUMAITA,35695714,-23.952.639,-46.454.035,MANHA-TARDE,,,,,1.0,0.0,NAO
RONNY TRAVASSOS AZURZA,MUNICIPAL,11320230,R JOAO JOSE FLORINDO DA SILVA,27,ITARARE,,-23.967.373,-4.638.449,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
I U G C SAO VICENTE,MUNICIPAL,11320001,AV PRESIDENTE WILSON,1033,ITARARE,(13)34676566,-239.673.041.334,-463.785.933.187,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CLINICA DE OLHOS CARVALHO SAO VICENTE,MUNICIPAL,11320001,AVENIDA PRESIDENTE WILSON,1473,ITARARE,(13)34671224,-239.653.201.472,-463.821.879.322,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CARLOS SARKISSIAN SOBRINHO SAO VICENTE,MUNICIPAL,11310090,AVENIDA PRESIDENTE WILSON,1081,ITARARE,(13)34685661,-239.670.756.294,-463.789.219.747,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ROSANGELA SOARES MOREIRA SAO VICENTE,MUNICIPAL,11310100,AV PRESIDENTE WILSON,89,ITARARE,(13)34673808,-23.971.713,-46.370.463,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CLINICA MEDICA GADDINI LTDA SAO VICENTE,MUNICIPAL,11310100,AV PRESIDENTE WILSON,1033,ITARARE,(13)34676566,-239.673.335.447,-463.785.504.035,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ECELD MEDICINA E SAUDE LTDA SAO VICENTE,MUNICIPAL,11320001,AV PRESIDENTE WILSON,1033,ITARARE,(13)34676566,-23.967.385,-46.378.557,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
AMOR SAUDE CLINICA ODONTOLOGICA SAO VICENTE,MUNICIPAL,11320130,MESSIA ASSU,443,ITARARE,31 97813987,-239.707.312,-463.715.383,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
DROGARAIA LJ0640 SV,MUNICIPAL,11320001,PRESIDENTE WILSON,1169,ITARARE,13996160085,-239.668.033.164,-463.796.639.442,MANHA-TARDE-NOITE,,,,,1.0,0.0,NAO
CLINICA PELLEGRINI SAO VICENTE,MUNICIPAL,11320080,FREITAS GUIMARAES,445,ITARARE,13 96712135,-239.688.424.919,-463.730.174.303,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
VANIA LUCIA NOGUEIRA MENDES TAGLIARINI SAO VICENTE,MUNICIPAL,11320001,AV PRESIDENTE WILSON,1473,ITARARE,(13) 34696965,-2.396.543,-46.382.232,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CLINICA MICHELLA CHAYAMITI SAO VICENTE,MUNICIPAL,11320001,AVENIDA PRESIDENTE WILSON,1033,ITARARE,81165181,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
POSTO DE ENFERMAGEM DO ITARARE SAO VICENTE,MUNICIPAL,11321000,AV AYRTON SENNA DA SILVA,S/N,ITARARE,1334676649,-23.972.133,-46.368.856,MANHA,0.0,0.0,0.0,0.0,0.0,0.0,NAO
FUNDACAO PLURAL SAO VICENTE,MUNICIPAL,11320001,AV PRES WILSON,1033,ITARARE,34663692,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ASSOCIACAO PLURAL SAO VICENTE,MUNICIPAL,11320001,AV PRES WILSON,1033,ITARARE,34663692,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
NOTRE DAME INTERMEDICA SAUDE AMBULATORIO SAO VICENTE,MUNICIPAL,11320001,AV PRESIDENTE WILSON,199,ITARARE,1335693200,-239.688.179.828,-463.756.942.749,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
OFTALMOCENTER SAO VICENTE,MUNICIPAL,11320160,R ONZE DE JUNHO,96,ITARARE,1338780333,,,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
SAMU 192 SAO VICENTE 5,MUNICIPAL,11321000,AVENIDA AYRTON SENNA,S/N,ITARARE,34631915,-23.972.157,-46.368.835,24H,,,,,0.0,0.0,NAO
DERMA REUMA CLINICA ESPECIALIZADA LTDA SAO VICENTE,MUNICIPAL,11320910,AV PRESIDENTE WILSON,89,ITARARE,13 34685192,-239.686.624,-46.375.718,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
PCF SAUDE INTEGRATIVA SV,MUNICIPAL,11320001,PRESIDENTE WILSON,1473,ITARARE,13 96401004,-239.655.092.075,-46.382.163.763,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
JULIA BITTENCOURT NUTRICIONISTA SAO VICENTE,MUNICIPAL,11320202,AV MANOEL DA NOBREGA,1439,ITARARE,1336180913,-239.681.617.093,-463.601.340.736,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
AMOR SAUDE SAO VICENTE,MUNICIPAL,11320130,MESSIA ASSU,443,ITARARE,13 35693700,-239.729.558,-463.729.507,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
AME AMBULATORIO MEDICO DE ESPECIALIDADES DE SAO VICENTE,ESTADUAL,11320001,AVENIDA PRESIDENTE WILSON,291,ITARARE,(13) 3569-4100,-239.710.309,-463.709.772,MANHA-TARDE,1.0,0.0,0.0,1.0,1.0,1.0,SIM
ODONTO PRAIA SAO VICENTE,MUNICIPAL,11320160,RUA ONZE DE JUNHO,292,ITARARE,1334675553,-23.971.306,-46.372.543,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ESF JAPUI SAO VICENTE,MUNICIPAL,11325000,AV TUPINIQUINS,S/N,JAPUI,(13)35671344,-23.984.736,-4.639.504,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
UNIDADE BASICA DE SAUDE JARDIM GUASSU SAO VICENTE,MUNICIPAL,11370580,RUA LAGARTO,101,JARDIM GUASSU,(13)35612004,-23.951.725,-46.380.155,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
ADRIANA PEREIRA MANTOVANELLI SAO VICENTE,MUNICIPAL,11380001,AVENIDA PREFEITO JOSE MONTEIRO,765,JARDIM INDEPENDENCIA,35611797,-239.641.685.166,-463.717.621.565,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
FARMA CONDE FILIAL 133 SV,MUNICIPAL,11380001,PREFEITO JOSE MONTEIRO,587,JARDIM INDEPENDENCIA,12 39324721,-239.640.116.524,-463.723.039.627,MANHA-TARDE-NOITE,,,,,1.0,0.0,NAO
DROGARIA CARREFOUR DSV,MUNICIPAL,11380001,PREFEITO JOSE MONTEIRO,1045,JARDIM INDEPENDENCIA,11 37796000,-239.674.111.509,-463.695.466.518,MANHA-TARDE-NOITE,,,,,1.0,0.0,NAO
